prod_type,dvd_era,genres,count,total,prop
Independent,pre,action,40,548,0.072992700729927
Independent,pre,adventure,23,548,0.041970802919708027
Independent,pre,animation,6,548,0.010948905109489052
Independent,pre,comedy,84,548,0.15328467153284672
Independent,pre,crime,37,548,0.06751824817518248
Independent,pre,documentary,5,548,0.009124087591240875
Independent,pre,drama,81,548,0.1478102189781022
Independent,pre,family,9,548,0.016423357664233577
Independent,pre,fantasy,15,548,0.02737226277372263
Independent,pre,history,6,548,0.010948905109489052
Independent,pre,horror,101,548,0.1843065693430657
Independent,pre,music,7,548,0.012773722627737226
Independent,pre,mystery,10,548,0.01824817518248175
Independent,pre,romance,28,548,0.051094890510948905
Independent,pre,science fiction,39,548,0.07116788321167883
Independent,pre,thriller,47,548,0.08576642335766424
Independent,pre,tv movie,2,548,0.0036496350364963502
Independent,pre,war,6,548,0.010948905109489052
Independent,pre,western,2,548,0.0036496350364963502
Independent,during,action,146,1890,0.07724867724867725
Independent,during,adventure,50,1890,0.026455026455026454
Independent,during,animation,10,1890,0.005291005291005291
Independent,during,comedy,238,1890,0.1259259259259259
Independent,during,crime,119,1890,0.06296296296296296
Independent,during,documentary,31,1890,0.0164021164021164
Independent,during,drama,445,1890,0.23544973544973544
Independent,during,family,36,1890,0.01904761904761905
Independent,during,fantasy,45,1890,0.023809523809523808
Independent,during,history,11,1890,0.00582010582010582
Independent,during,horror,228,1890,0.12063492063492064
Independent,during,music,20,1890,0.010582010582010581
Independent,during,mystery,66,1890,0.03492063492063492
Independent,during,romance,137,1890,0.07248677248677249
Independent,during,science fiction,76,1890,0.04021164021164021
Independent,during,thriller,196,1890,0.1037037037037037
Independent,during,tv movie,18,1890,0.009523809523809525
Independent,during,war,14,1890,0.007407407407407408
Independent,during,western,4,1890,0.0021164021164021165
Small,pre,action,199,2212,0.08996383363471971
Small,pre,adventure,107,2212,0.04837251356238698
Small,pre,animation,33,2212,0.014918625678119348
Small,pre,comedy,341,2212,0.15415913200723327
Small,pre,crime,149,2212,0.06735985533453888
Small,pre,documentary,2,2212,0.0009041591320072332
Small,pre,drama,381,2212,0.17224231464737794
Small,pre,family,88,2212,0.039783001808318265
Small,pre,fantasy,78,2212,0.0352622061482821
Small,pre,history,26,2212,0.011754068716094032
Small,pre,horror,179,2212,0.08092224231464738
Small,pre,music,30,2212,0.013562386980108499
Small,pre,mystery,72,2212,0.0325497287522604
Small,pre,romance,153,2212,0.06916817359855335
Small,pre,science fiction,112,2212,0.05063291139240506
Small,pre,thriller,224,2212,0.10126582278481013
Small,pre,tv movie,5,2212,0.0022603978300180833
Small,pre,war,22,2212,0.009945750452079566
Small,pre,western,11,2212,0.004972875226039783
Small,during,action,410,4609,0.08895638967238012
Small,during,adventure,172,4609,0.03731829030158386
Small,during,animation,67,4609,0.014536775873291387
Small,during,comedy,691,4609,0.14992406161857236
Small,during,crime,300,4609,0.06509004122369277
Small,during,documentary,12,4609,0.002603601648947711
Small,during,drama,980,4609,0.2126274679973964
Small,during,family,147,4609,0.03189412019960946
Small,during,fantasy,117,4609,0.025385116077240182
Small,during,history,75,4609,0.016272510305923193
Small,during,horror,262,4609,0.05684530266869169
Small,during,music,57,4609,0.012367107832501627
Small,during,mystery,167,4609,0.03623345628118898
Small,during,romance,399,4609,0.08656975482751139
Small,during,science fiction,138,4609,0.029941418962898675
Small,during,thriller,518,4609,0.11238880451290953
Small,during,tv movie,29,4609,0.0062920373182903016
Small,during,war,52,4609,0.011282273812106747
Small,during,western,16,4609,0.003471468865263615
Big,pre,action,229,2074,0.11041465766634523
Big,pre,adventure,196,2074,0.09450337512054002
Big,pre,animation,28,2074,0.013500482160077145
Big,pre,comedy,291,2074,0.1403085824493732
Big,pre,crime,135,2074,0.06509161041465766
Big,pre,documentary,0,2074,0.0
Big,pre,drama,311,2074,0.14995178399228543
Big,pre,family,85,2074,0.040983606557377046
Big,pre,fantasy,101,2074,0.048698167791706846
Big,pre,history,40,2074,0.019286403085824494
Big,pre,horror,50,2074,0.024108003857280617
Big,pre,music,29,2074,0.013982642237222759
Big,pre,mystery,52,2074,0.02507232401157184
Big,pre,romance,140,2074,0.06750241080038573
Big,pre,science fiction,120,2074,0.05785920925747348
Big,pre,thriller,201,2074,0.09691417550626807
Big,pre,tv movie,0,2074,0.0
Big,pre,war,43,2074,0.020732883317261332
Big,pre,western,23,2074,0.011089681774349084
Big,during,action,389,3418,0.11380924517261556
Big,during,adventure,289,3418,0.08455236980690463
Big,during,animation,97,3418,0.028379169104739616
Big,during,comedy,465,3418,0.13604447045055587
Big,during,crime,209,3418,0.06114686951433587
Big,during,documentary,1,3418,0.0002925687536571094
Big,during,drama,476,3418,0.13926272674078408
Big,during,family,192,3418,0.056173200702165006
Big,during,fantasy,168,3418,0.049151550614394385
Big,during,history,61,3418,0.017846693973083673
Big,during,horror,84,3418,0.024575775307197192
Big,during,music,27,3418,0.007899356348741955
Big,during,mystery,131,3418,0.03832650672908133
Big,during,romance,232,3418,0.06787595084844938
Big,during,science fiction,158,3418,0.04622586307782329
Big,during,thriller,374,3418,0.10942071386775892
Big,during,tv movie,0,3418,0.0
Big,during,war,50,3418,0.014628437682855471
Big,during,western,15,3418,0.004388531304856641
Super,pre,action,5,24,0.20833333333333334
Super,pre,adventure,3,24,0.125
Super,pre,animation,1,24,0.041666666666666664
Super,pre,comedy,1,24,0.041666666666666664
Super,pre,crime,2,24,0.08333333333333333
Super,pre,documentary,0,24,0.0
Super,pre,drama,2,24,0.08333333333333333
Super,pre,family,0,24,0.0
Super,pre,fantasy,1,24,0.041666666666666664
Super,pre,history,0,24,0.0
Super,pre,horror,0,24,0.0
Super,pre,music,0,24,0.0
Super,pre,mystery,0,24,0.0
Super,pre,romance,1,24,0.041666666666666664
Super,pre,science fiction,4,24,0.16666666666666666
Super,pre,thriller,3,24,0.125
Super,pre,tv movie,0,24,0.0
Super,pre,war,0,24,0.0
Super,pre,western,1,24,0.041666666666666664
Super,during,action,62,338,0.1834319526627219
Super,during,adventure,76,338,0.22485207100591717
Super,during,animation,21,338,0.0621301775147929
Super,during,comedy,22,338,0.0650887573964497
Super,during,crime,6,338,0.01775147928994083
Super,during,documentary,0,338,0.0
Super,during,drama,14,338,0.04142011834319527
Super,during,family,28,338,0.08284023668639054
Super,during,fantasy,35,338,0.10355029585798817
Super,during,history,3,338,0.008875739644970414
Super,during,horror,2,338,0.005917159763313609
Super,during,music,0,338,0.0
Super,during,mystery,3,338,0.008875739644970414
Super,during,romance,3,338,0.008875739644970414
Super,during,science fiction,33,338,0.09763313609467456
Super,during,thriller,25,338,0.07396449704142012
Super,during,tv movie,0,338,0.0
Super,during,war,3,338,0.008875739644970414
Super,during,western,2,338,0.005917159763313609
