prod_type,genre,word,era,factor
Independent,drama,friends,pre,0.015857627588117165
Independent,drama,family,pre,0.030468804099439098
Independent,drama,war,pre,0.013849456408835953
Independent,drama,party,pre,0.013226230870438335
Independent,drama,home,pre,0.023059344920711863
Independent,drama,positive_emotion,pre,0.010664081434803683
Independent,drama,crime,pre,0.013710961844747594
Independent,drama,death,pre,0.016688594972647325
Independent,drama,negative_emotion,pre,0.017381067793089122
Independent,drama,children,pre,0.029083858458555503
Independent,drama,wedding,pre,0.013295478152482516
Independent,drama,friends,during,0.020321539005716503
Independent,drama,family,during,0.030453783046747528
Independent,drama,war,during,0.007074314533152291
Independent,drama,party,during,0.017651555778688058
Independent,drama,home,during,0.02287742038543604
Independent,drama,positive_emotion,during,0.013121712440524413
Independent,drama,crime,during,0.013190173548909757
Independent,drama,death,during,0.016761561369678574
Independent,drama,negative_emotion,during,0.01886103536016248
Independent,drama,children,during,0.029278534019465775
Independent,drama,wedding,during,0.018484499264043084
Small,drama,friends,pre,0.014484717601509756
Small,drama,party,pre,0.01644973637619409
Small,drama,family,pre,0.0257398003852215
Small,drama,celebration,pre,0.011546917255199518
Small,drama,home,pre,0.020068483822642463
Small,drama,positive_emotion,pre,0.010700597287884979
Small,drama,crime,pre,0.014153971867156948
Small,drama,death,pre,0.016157901904706316
Small,drama,negative_emotion,pre,0.01960154866826203
Small,drama,children,pre,0.023444035876184363
Small,drama,wedding,pre,0.016177357536138835
Small,drama,friends,during,0.016094872032574824
Small,drama,party,during,0.018405345465695888
Small,drama,family,during,0.030578117534639272
Small,drama,celebration,during,0.013071289515157134
Small,drama,home,during,0.02433128195620084
Small,drama,positive_emotion,during,0.012985716425041538
Small,drama,crime,during,0.012942929879983741
Small,drama,death,during,0.017207322204077558
Small,drama,negative_emotion,during,0.01866919582688564
Small,drama,children,during,0.02796100719527066
Small,drama,wedding,during,0.018469525283282585
Big,drama,family,pre,0.021449597562732868
Big,drama,war,pre,0.013483192325902138
Big,drama,party,pre,0.012968566664608164
Big,drama,home,pre,0.01593281047366146
Big,drama,leader,pre,0.01246423351654007
Big,drama,crime,pre,0.01469770888655592
Big,drama,death,pre,0.015479939891722761
Big,drama,military,pre,0.012587743675250623
Big,drama,negative_emotion,pre,0.01672533399205418
Big,drama,children,pre,0.018927931822392392
Big,drama,wedding,pre,0.013637580024290332
Big,drama,family,during,0.02132895816242822
Big,drama,war,during,0.014075385346055869
Big,drama,party,during,0.012895240562439734
Big,drama,home,during,0.01596073859793043
Big,drama,leader,during,0.012967200610221205
Big,drama,crime,during,0.015025257976771296
Big,drama,death,during,0.01656520299929479
Big,drama,military,during,0.011693507764489155
Big,drama,negative_emotion,during,0.017299195486665805
Big,drama,children,during,0.018666436394513767
Big,drama,wedding,during,0.014096973360390312
Super,drama,ship,pre,0.007619047619047619
Super,drama,kill,pre,0.024761904761904763
Super,drama,friends,pre,0.022857142857142857
Super,drama,competing,pre,0.022857142857142857
Super,drama,dance,pre,0.02095238095238095
Super,drama,sports,pre,0.024761904761904763
Super,drama,sailing,pre,0.0038095238095238095
Super,drama,party,pre,0.03238095238095238
Super,drama,war,pre,0.022857142857142857
Super,drama,ocean,pre,0.0038095238095238095
Super,drama,family,pre,0.007619047619047619
Super,drama,vehicle,pre,0.005714285714285714
Super,drama,leader,pre,0.011428571428571429
Super,drama,crime,pre,0.02095238095238095
Super,drama,negative_emotion,pre,0.02666666666666667
Super,drama,children,pre,0.011428571428571429
Super,drama,fight,pre,0.022857142857142857
Super,drama,ship,during,0.02122347066167291
Super,drama,kill,during,0.01420099875156055
Super,drama,friends,during,0.005461922596754058
Super,drama,competing,during,0.004369538077403246
Super,drama,dance,during,0.003589263420724095
Super,drama,sports,during,0.005461922596754058
Super,drama,sailing,during,0.015761548064918852
Super,drama,party,during,0.011548064918851436
Super,drama,war,during,0.013888888888888888
Super,drama,ocean,during,0.01373283395755306
Super,drama,family,during,0.01529338327091136
Super,drama,vehicle,during,0.015137328339575531
Super,drama,leader,during,0.015917602996254682
Super,drama,crime,during,0.012484394506866416
Super,drama,negative_emotion,during,0.015605493133583021
Super,drama,children,during,0.0149812734082397
Super,drama,fight,during,0.012796504369538077
Independent,comedy,friends,pre,0.01268474339578727
Independent,comedy,party,pre,0.01955079716047946
Independent,comedy,family,pre,0.02187827301291749
Independent,comedy,traveling,pre,0.012975677877342023
Independent,comedy,celebration,pre,0.011695566158501106
Independent,comedy,home,pre,0.02414756196904457
Independent,comedy,positive_emotion,pre,0.00826253927615501
Independent,comedy,crime,pre,0.013499359944140579
Independent,comedy,death,pre,0.014081228907250087
Independent,comedy,negative_emotion,pre,0.01792156406377284
Independent,comedy,children,pre,0.01937623647154661
Independent,comedy,wedding,pre,0.01274293029209822
Independent,comedy,vacation,pre,0.014023042010939136
Independent,comedy,friends,during,0.021385887360838244
Independent,comedy,party,during,0.022409135559921415
Independent,comedy,family,during,0.027791421087098887
Independent,comedy,traveling,during,0.010478061558611657
Independent,comedy,celebration,during,0.016331041257367385
Independent,comedy,home,during,0.021815651604453177
Independent,comedy,positive_emotion,during,0.013363621480026195
Independent,comedy,crime,during,0.01019155206286837
Independent,comedy,death,during,0.013138506876227897
Independent,comedy,negative_emotion,during,0.017231499672560577
Independent,comedy,children,during,0.024578421741977736
Independent,comedy,wedding,during,0.020117059593975115
Independent,comedy,vacation,during,0.011296660117878193
Small,comedy,friends,pre,0.014445805452355163
Small,comedy,party,pre,0.018859520362815463
Small,comedy,family,pre,0.02228116173835579
Small,comedy,celebration,pre,0.013150035937357642
Small,comedy,work,pre,0.011317736857556462
Small,comedy,home,pre,0.02007430428312564
Small,comedy,business,pre,0.012279440794468684
Small,comedy,negative_emotion,pre,0.016480568518874705
Small,comedy,children,pre,0.01968962270836075
Small,comedy,wedding,pre,0.015528987781298402
Small,comedy,vacation,pre,0.012451535183179293
Small,comedy,friends,during,0.017868502523360523
Small,comedy,party,during,0.021692418609253736
Small,comedy,family,during,0.024809511019381104
Small,comedy,celebration,during,0.016129716280976546
Small,comedy,work,during,0.012531983771328404
Small,comedy,home,during,0.02037065833557161
Small,comedy,business,during,0.0116484541766211
Small,comedy,negative_emotion,during,0.0162569445426144
Small,comedy,children,during,0.021112823195125745
Small,comedy,wedding,during,0.018045208442301983
Small,comedy,vacation,during,0.01250371082429777
Big,comedy,friends,pre,0.010547285706380388
Big,comedy,party,pre,0.016700791323114382
Big,comedy,family,pre,0.020851087377566267
Big,comedy,celebration,pre,0.013247745005810415
Big,comedy,home,pre,0.0169664102705993
Big,comedy,business,pre,0.0134358917602789
Big,comedy,crime,pre,0.011764705882352941
Big,comedy,negative_emotion,pre,0.015273089480382933
Big,comedy,children,pre,0.017696862376182836
Big,comedy,wedding,pre,0.01546123623485142
Big,comedy,vacation,pre,0.011797908250788556
Big,comedy,friends,during,0.013510562611384657
Big,comedy,party,during,0.01903312835034481
Big,comedy,family,during,0.02242837922557286
Big,comedy,celebration,during,0.015102526714707354
Big,comedy,home,during,0.017779280516754366
Big,comedy,business,during,0.012510301980093405
Big,comedy,crime,during,0.009129139282770864
Big,comedy,negative_emotion,during,0.01630706592562851
Big,comedy,children,during,0.018427336700407852
Big,comedy,wedding,during,0.017659531004557527
Big,comedy,vacation,during,0.012298979311510746
Super,comedy,real_estate,pre,0.014792899408284023
Super,comedy,toy,pre,0.01775147928994083
Super,comedy,family,pre,0.01775147928994083
Super,comedy,war,pre,0.008875739644970414
Super,comedy,traveling,pre,0.0029585798816568047
Super,comedy,party,pre,0.011834319526627219
Super,comedy,home,pre,0.008875739644970414
Super,comedy,animal,pre,0.011834319526627219
Super,comedy,leader,pre,0.0029585798816568047
Super,comedy,crime,pre,0.026627218934911243
Super,comedy,death,pre,0.038461538461538464
Super,comedy,negative_emotion,pre,0.023668639053254437
Super,comedy,clothing,pre,0.023668639053254437
Super,comedy,children,pre,0.023668639053254437
Super,comedy,wedding,pre,0.014792899408284023
Super,comedy,stealing,pre,0.014792899408284023
Super,comedy,fight,pre,0.005917159763313609
Super,comedy,real_estate,during,0.005139863595927646
Super,comedy,toy,during,0.004151428289018484
Super,comedy,family,during,0.01808836611643768
Super,comedy,war,during,0.012157754274982703
Super,comedy,traveling,during,0.01196006721360087
Super,comedy,party,during,0.011564693090837205
Super,comedy,home,during,0.015716121379855688
Super,comedy,animal,during,0.012849658989819115
Super,comedy,leader,during,0.012256597805673619
