,dvd_era,region,genres,count,total,prop
0,pre,Eastern Asia,action,46,248,0.18548387096774194
1,pre,Eastern Asia,adventure,22,248,0.08870967741935484
2,pre,Eastern Asia,animation,12,248,0.04838709677419355
3,pre,Eastern Asia,comedy,18,248,0.07258064516129033
4,pre,Eastern Asia,crime,14,248,0.056451612903225805
5,pre,Eastern Asia,documentary,1,248,0.004032258064516129
6,pre,Eastern Asia,drama,35,248,0.14112903225806453
7,pre,Eastern Asia,family,11,248,0.04435483870967742
8,pre,Eastern Asia,fantasy,13,248,0.05241935483870968
9,pre,Eastern Asia,history,8,248,0.03225806451612903
10,pre,Eastern Asia,horror,9,248,0.036290322580645164
11,pre,Eastern Asia,music,0,248,0.0
12,pre,Eastern Asia,mystery,1,248,0.004032258064516129
13,pre,Eastern Asia,romance,8,248,0.03225806451612903
14,pre,Eastern Asia,science fiction,25,248,0.10080645161290322
15,pre,Eastern Asia,thriller,15,248,0.06048387096774194
16,pre,Eastern Asia,tv movie,1,248,0.004032258064516129
17,pre,Eastern Asia,war,5,248,0.020161290322580645
18,pre,Eastern Asia,western,3,248,0.012096774193548387
19,pre,Europe,action,41,518,0.07915057915057915
20,pre,Europe,adventure,50,518,0.09652509652509653
21,pre,Europe,animation,7,518,0.013513513513513514
22,pre,Europe,comedy,44,518,0.08494208494208494
23,pre,Europe,crime,24,518,0.04633204633204633
24,pre,Europe,documentary,0,518,0.0
25,pre,Europe,drama,113,518,0.21814671814671815
26,pre,Europe,family,14,518,0.02702702702702703
27,pre,Europe,fantasy,36,518,0.0694980694980695
28,pre,Europe,history,22,518,0.04247104247104247
29,pre,Europe,horror,29,518,0.055984555984555984
30,pre,Europe,music,9,518,0.017374517374517374
31,pre,Europe,mystery,20,518,0.03861003861003861
32,pre,Europe,romance,34,518,0.06563706563706563
33,pre,Europe,science fiction,21,518,0.04054054054054054
34,pre,Europe,thriller,36,518,0.0694980694980695
35,pre,Europe,tv movie,0,518,0.0
36,pre,Europe,war,15,518,0.02895752895752896
37,pre,Europe,western,3,518,0.005791505791505791
38,pre,North America,action,426,4409,0.09662054887729644
39,pre,North America,adventure,293,4409,0.06645497845316398
40,pre,North America,animation,58,4409,0.013154910410523928
41,pre,North America,comedy,676,4409,0.1533227489226582
42,pre,North America,crime,301,4409,0.06826944885461556
43,pre,North America,documentary,6,4409,0.0013608528010886822
44,pre,North America,drama,675,4409,0.15309594012247676
45,pre,North America,family,172,4409,0.03901111363120889
46,pre,North America,fantasy,169,4409,0.03833068723066455
47,pre,North America,history,53,4409,0.012020866409616693
48,pre,North America,horror,310,4409,0.07031072805624858
49,pre,North America,music,59,4409,0.013381719210705375
50,pre,North America,mystery,121,4409,0.027443864821955093
51,pre,North America,romance,292,4409,0.06622816965298253
52,pre,North America,science fiction,252,4409,0.05715581764572465
53,pre,North America,thriller,446,4409,0.10115672488092538
54,pre,North America,tv movie,9,4409,0.0020412792016330232
55,pre,North America,war,55,4409,0.012474484009979588
56,pre,North America,western,35,4409,0.007938308006350647
57,pre,Oceania,action,9,128,0.0703125
58,pre,Oceania,adventure,14,128,0.109375
59,pre,Oceania,animation,3,128,0.0234375
60,pre,Oceania,comedy,17,128,0.1328125
61,pre,Oceania,crime,3,128,0.0234375
62,pre,Oceania,documentary,0,128,0.0
63,pre,Oceania,drama,28,128,0.21875
64,pre,Oceania,family,6,128,0.046875
65,pre,Oceania,fantasy,3,128,0.0234375
66,pre,Oceania,history,5,128,0.0390625
67,pre,Oceania,horror,6,128,0.046875
68,pre,Oceania,music,1,128,0.0078125
69,pre,Oceania,mystery,2,128,0.015625
70,pre,Oceania,romance,11,128,0.0859375
71,pre,Oceania,science fiction,7,128,0.0546875
72,pre,Oceania,thriller,8,128,0.0625
73,pre,Oceania,tv movie,0,128,0.0
74,pre,Oceania,war,4,128,0.03125
75,pre,Oceania,western,1,128,0.0078125
76,pre,Southern Asia,action,7,38,0.18421052631578946
77,pre,Southern Asia,adventure,1,38,0.02631578947368421
78,pre,Southern Asia,animation,0,38,0.0
79,pre,Southern Asia,comedy,3,38,0.07894736842105263
80,pre,Southern Asia,crime,2,38,0.05263157894736842
81,pre,Southern Asia,documentary,0,38,0.0
82,pre,Southern Asia,drama,11,38,0.2894736842105263
83,pre,Southern Asia,family,2,38,0.05263157894736842
84,pre,Southern Asia,fantasy,1,38,0.02631578947368421
85,pre,Southern Asia,history,2,38,0.05263157894736842
86,pre,Southern Asia,horror,0,38,0.0
87,pre,Southern Asia,music,0,38,0.0
