dvd_era,prod_type,count,total,prop
pre,Independent,4551,6226,0.7309669129457115
pre,Small,897,6226,0.14407324124638612
pre,Big,770,6226,0.12367491166077739
pre,Super,8,6226,0.00128493414712496
during,Independent,7670,10798,0.7103167253195036
during,Small,1858,10798,0.17206890164845343
during,Big,1169,10798,0.10826078903500648
during,Super,101,10798,0.009353583997036488
