release_year,region,count,total,prop
1976,Caribbean,1,448,0.002232142857142857
1976,Eastern Asia,35,448,0.078125
1976,Europe,94,448,0.20982142857142858
1976,North America,231,448,0.515625
1976,Oceania,9,448,0.020089285714285716
1976,Russia,4,448,0.008928571428571428
1976,South America,5,448,0.011160714285714286
1976,Southern Asia,16,448,0.03571428571428571
1976,UK,51,448,0.11383928571428571
1976,Western Asia,2,448,0.004464285714285714
1977,Africa,1,522,0.0019157088122605363
1977,Eastern Asia,50,522,0.09578544061302682
1977,Europe,74,522,0.1417624521072797
1977,North America,287,522,0.5498084291187739
1977,Oceania,16,522,0.03065134099616858
1977,Russia,3,522,0.005747126436781609
1977,South America,2,522,0.0038314176245210726
1977,Southern Asia,22,522,0.0421455938697318
1977,UK,65,522,0.12452107279693486
1977,Western Asia,2,522,0.0038314176245210726
1978,Eastern Asia,54,504,0.10714285714285714
1978,Europe,57,504,0.1130952380952381
1978,North America,285,504,0.5654761904761905
1978,Oceania,4,504,0.007936507936507936
1978,Russia,1,504,0.001984126984126984
1978,South America,2,504,0.003968253968253968
1978,Southern Asia,29,504,0.057539682539682536
1978,UK,72,504,0.14285714285714285
1979,Africa,4,551,0.007259528130671506
1979,Eastern Asia,50,551,0.09074410163339383
1979,Europe,88,551,0.15970961887477314
1979,North America,275,551,0.49909255898366606
1979,Oceania,20,551,0.036297640653357534
1979,Russia,10,551,0.018148820326678767
1979,South America,3,551,0.0054446460980036296
1979,Southeast Asia,4,551,0.007259528130671506
1979,Southern Asia,24,551,0.043557168784029036
1979,UK,70,551,0.12704174228675136
1979,Western Asia,3,551,0.0054446460980036296
1980,Africa,4,610,0.006557377049180328
1980,Eastern Asia,46,610,0.07540983606557378
1980,Europe,70,610,0.11475409836065574
1980,North America,372,610,0.6098360655737705
1980,Oceania,16,610,0.02622950819672131
1980,Russia,3,610,0.004918032786885246
1980,South America,2,610,0.003278688524590164
1980,Southern Asia,39,610,0.06393442622950819
1980,UK,58,610,0.09508196721311475
1981,Africa,6,533,0.01125703564727955
1981,Eastern Asia,33,533,0.06191369606003752
1981,Europe,70,533,0.13133208255159476
1981,North America,318,533,0.5966228893058161
1981,Oceania,25,533,0.04690431519699812
1981,Russia,7,533,0.013133208255159476
1981,South America,1,533,0.001876172607879925
1981,Southern Asia,30,533,0.05628517823639775
1981,UK,43,533,0.08067542213883677
1982,Caribbean,3,595,0.005042016806722689
1982,Eastern Asia,39,595,0.06554621848739496
1982,Europe,65,595,0.1092436974789916
1982,North America,341,595,0.573109243697479
1982,Oceania,37,595,0.06218487394957983
1982,South America,2,595,0.0033613445378151263
1982,Southern Asia,50,595,0.08403361344537816
1982,UK,55,595,0.09243697478991597
1982,Western Asia,3,595,0.005042016806722689
1983,Caribbean,2,595,0.0033613445378151263
1983,Eastern Asia,44,595,0.07394957983193277
1983,Europe,85,595,0.14285714285714285
1983,Middle East,1,595,0.0016806722689075631
1983,North America,343,595,0.5764705882352941
1983,Oceania,23,595,0.03865546218487395
1983,South America,3,595,0.005042016806722689
1983,Southeast Asia,2,595,0.0033613445378151263
1983,Southern Asia,30,595,0.05042016806722689
1983,UK,57,595,0.0957983193277311
1983,Western Asia,5,595,0.008403361344537815
1984,Caribbean,1,644,0.0015527950310559005
1984,Eastern Asia,49,644,0.07608695652173914
1984,Europe,69,644,0.10714285714285714
1984,North America,393,644,0.610248447204969
1984,Oceania,7,644,0.010869565217391304
1984,Russia,1,644,0.0015527950310559005
1984,South America,7,644,0.010869565217391304
1984,Southeast Asia,4,644,0.006211180124223602
1984,Southern Asia,39,644,0.06055900621118013
1984,UK,74,644,0.11490683229813664
1985,Eastern Asia,67,744,0.09005376344086022
1985,Europe,94,744,0.12634408602150538
1985,North America,441,744,0.592741935483871
1985,Oceania,23,744,0.030913978494623656
1985,Russia,3,744,0.004032258064516129
1985,South America,10,744,0.013440860215053764
1985,Southern Asia,37,744,0.04973118279569892
1985,UK,69,744,0.09274193548387097
1986,Africa,9,793,0.011349306431273645
1986,Eastern Asia,61,793,0.07692307692307693
1986,Europe,98,793,0.1235813366960908
1986,North America,479,793,0.6040353089533418
1986,Oceania,27,793,0.034047919293820936
1986,Russia,1,793,0.0012610340479192938
1986,South America,8,793,0.01008827238335435
1986,Southern Asia,40,793,0.05044136191677175
1986,UK,66,793,0.0832282471626734
1986,Western Asia,4,793,0.005044136191677175
1987,Africa,7,868,0.008064516129032258
1987,Central America,3,868,0.0034562211981566822
1987,Eastern Asia,56,868,0.06451612903225806
1987,Europe,95,868,0.10944700460829493
1987,North America,575,868,0.6624423963133641
1987,Oceania,18,868,0.020737327188940093
1987,Russia,9,868,0.010368663594470046
1987,South America,8,868,0.009216589861751152
1987,Southern Asia,17,868,0.019585253456221197
1987,UK,74,868,0.08525345622119816
1987,Western Asia,6,868,0.0069124423963133645
1988,Africa,10,947,0.010559662090813094
1988,Eastern Asia,46,947,0.048574445617740235
1988,Europe,149,947,0.1573389651531151
1988,North America,579,947,0.6114044350580782
1988,Oceania,22,947,0.023231256599788808
1988,Russia,13,947,0.013727560718057022
1988,South America,2,947,0.0021119324181626186
1988,Southern Asia,51,947,0.05385427666314678
1988,UK,67,947,0.07074973600844774
1988,Western Asia,8,947,0.008447729672650475
1989,Africa,4,870,0.004597701149425287
1989,Eastern Asia,60,870,0.06896551724137931
1989,Europe,97,870,0.11149425287356322
1989,North America,562,870,0.6459770114942529
1989,Oceania,19,870,0.021839080459770115
1989,Russia,6,870,0.006896551724137931
1989,South America,3,870,0.0034482758620689655
1989,Southeast Asia,2,870,0.0022988505747126436
1989,Southern Asia,51,870,0.05862068965517241
1989,UK,61,870,0.07011494252873564
1989,Western Asia,5,870,0.005747126436781609
1990,Africa,1,883,0.0011325028312570782
1990,Caribbean,1,883,0.0011325028312570782
1990,Eastern Asia,75,883,0.08493771234428087
1990,Europe,95,883,0.10758776896942242
1990,North America,571,883,0.6466591166477916
1990,Oceania,12,883,0.013590033975084938
1990,South America,2,883,0.0022650056625141564
1990,Southern Asia,56,883,0.06342015855039637
1990,UK,67,883,0.07587768969422423
1990,Western Asia,3,883,0.0033975084937712344
1991,Eastern Asia,84,798,0.10526315789473684
1991,Europe,74,798,0.09273182957393483
1991,North America,503,798,0.6303258145363408
1991,Oceania,14,798,0.017543859649122806
1991,Russia,7,798,0.008771929824561403
1991,South America,4,798,0.005012531328320802
1991,Southern Asia,56,798,0.07017543859649122
1991,UK,55,798,0.06892230576441102
1991,Western Asia,1,798,0.0012531328320802004
1992,Africa,9,885,0.010169491525423728
1992,Eastern Asia,84,885,0.09491525423728814
1992,Europe,87,885,0.09830508474576272
1992,Middle East,2,885,0.0022598870056497176
1992,North America,534,885,0.6033898305084746
1992,Oceania,17,885,0.0192090395480226
1992,Russia,8,885,0.00903954802259887
1992,South America,8,885,0.00903954802259887
1992,Southeast Asia,4,885,0.004519774011299435
1992,Southern Asia,53,885,0.059887005649717516
1992,UK,73,885,0.08248587570621468
1992,Western Asia,6,885,0.006779661016949152
1993,Africa,14,1087,0.012879484820607176
1993,Central Asia,2,1087,0.0018399264029438822
1993,Eastern Asia,116,1087,0.10671573137074516
1993,Europe,133,1087,0.12235510579576817
1993,North America,649,1087,0.5970561177552898
1993,Oceania,21,1087,0.019319227230910764
1993,South America,8,1087,0.007359705611775529
1993,Southeast Asia,2,1087,0.0018399264029438822
1993,Southern Asia,80,1087,0.07359705611775529
1993,UK,58,1087,0.05335786568537258
1993,Western Asia,4,1087,0.0036798528058877645
1994,Africa,6,1131,0.005305039787798408
1994,Eastern Asia,84,1131,0.07427055702917772
1994,Europe,181,1131,0.16003536693191867
1994,North America,685,1131,0.6056587091069849
1994,Oceania,15,1131,0.013262599469496022
1994,Russia,2,1131,0.0017683465959328027
1994,South America,4,1131,0.0035366931918656055
1994,Southeast Asia,2,1131,0.0017683465959328027
1994,Southern Asia,67,1131,0.0592396109637489
1994,UK,79,1131,0.06984969053934571
1994,Western Asia,6,1131,0.005305039787798408
1995,Africa,1,1201,0.0008326394671107411
1995,Eastern Asia,107,1201,0.0890924229808493
