,dvd_era,prod_type,count,total,prop
0,pre,Independent,858,3042,0.28205128205128205
1,pre,Small,1049,3042,0.3448389217619987
2,pre,Big,1092,3042,0.358974358974359
3,pre,Super,43,3042,0.01413543721236029
4,during,Independent,4100,9453,0.4337247434676822
5,during,Small,3048,9453,0.3224373214852428
6,during,Big,1874,9453,0.19824394372156987
7,during,Super,431,9453,0.04559399132550513
8,post,Independent,7214,11575,0.6232397408207343
9,post,Small,2494,11575,0.21546436285097192
10,post,Big,1287,11575,0.11118790496760259
11,post,Super,580,11575,0.05010799136069115
