prod_type,dvd_era,genres,count,total,prop
Independent,pre,action,116,1483,0.0782198246797033
Independent,pre,adventure,37,1483,0.024949426837491573
Independent,pre,animation,20,1483,0.013486176668914362
Independent,pre,comedy,226,1483,0.1523937963587323
Independent,pre,crime,98,1483,0.06608226567768037
Independent,pre,drama,334,1483,0.22521915037086987
Independent,pre,family,32,1483,0.02157788267026298
Independent,pre,fantasy,34,1483,0.022926500337154418
Independent,pre,history,22,1483,0.014834794335805798
Independent,pre,horror,209,1483,0.1409305461901551
Independent,pre,music,30,1483,0.020229265003371546
Independent,pre,mystery,22,1483,0.014834794335805798
Independent,pre,romance,70,1483,0.04720161834120027
Independent,pre,science fiction,93,1483,0.06271072151045179
Independent,pre,thriller,94,1483,0.0633850303438975
Independent,pre,tv movie,14,1483,0.009440323668240054
Independent,pre,war,27,1483,0.01820633850303439
Independent,pre,western,5,1483,0.0033715441672285905
Independent,during,action,503,6901,0.0728879872482249
Independent,during,adventure,152,6901,0.022025793363280685
Independent,during,animation,61,6901,0.008839298652369222
Independent,during,comedy,1094,6901,0.15852774960150703
Independent,during,crime,316,6901,0.04579046514997826
Independent,during,drama,1524,6901,0.2208375597739458
Independent,during,family,145,6901,0.021011447616287496
Independent,during,fantasy,143,6901,0.02072163454571801
Independent,during,history,60,6901,0.00869439211708448
Independent,during,horror,1114,6901,0.16142588030720184
Independent,during,music,121,6901,0.017533690769453703
Independent,during,mystery,207,6901,0.029995652803941456
Independent,during,romance,407,6901,0.05897695986088972
Independent,during,science fiction,243,6901,0.03521228807419215
Independent,during,thriller,697,6901,0.10099985509346472
Independent,during,tv movie,44,6901,0.006375887552528619
Independent,during,war,44,6901,0.006375887552528619
Independent,during,western,26,6901,0.003767569917403275
Independent,post,action,728,11948,0.06093069969869434
Independent,post,adventure,349,11948,0.029209909608302644
Independent,post,animation,131,11948,0.010964178105122195
Independent,post,comedy,1865,11948,0.15609306996986944
Independent,post,crime,479,11948,0.040090391697355204
Independent,post,drama,2974,11948,0.24891195179109474
Independent,post,family,248,11948,0.020756611985269503
Independent,post,fantasy,337,11948,0.028205557415467025
Independent,post,history,115,11948,0.009625041848008034
Independent,post,horror,1572,11948,0.13157013726146635
Independent,post,music,186,11948,0.015567458988952126
Independent,post,mystery,487,11948,0.04075995982591229
Independent,post,romance,587,11948,0.04912956143287579
Independent,post,science fiction,469,11948,0.039253431536658855
Independent,post,thriller,1222,11948,0.10227653163709408
Independent,post,tv movie,63,11948,0.00527284901238701
Independent,post,war,80,11948,0.006695681285570807
Independent,post,western,56,11948,0.004686976899899564
Small,pre,action,215,2449,0.08779093507554103
Small,pre,adventure,102,2449,0.041649652919559
Small,pre,animation,31,2449,0.012658227848101266
Small,pre,comedy,341,2449,0.13924050632911392
Small,pre,crime,159,2449,0.06492445896284198
Small,pre,drama,448,2449,0.1829318089015925
Small,pre,family,77,2449,0.03144140465496121
Small,pre,fantasy,86,2449,0.03511637403021641
Small,pre,history,29,2449,0.011841567986933442
Small,pre,horror,269,2449,0.10984075132707227
Small,pre,music,31,2449,0.012658227848101266
Small,pre,mystery,69,2449,0.028174765210289915
Small,pre,romance,139,2449,0.05675786035116374
Small,pre,science fiction,139,2449,0.05675786035116374
Small,pre,thriller,246,2449,0.1004491629236423
Small,pre,tv movie,24,2449,0.009799918334013884
Small,pre,war,32,2449,0.013066557778685178
Small,pre,western,12,2449,0.004899959167006942
Small,during,action,634,7000,0.09057142857142857
Small,during,adventure,283,7000,0.04042857142857143
Small,during,animation,112,7000,0.016
Small,during,comedy,1034,7000,0.14771428571428571
Small,during,crime,389,7000,0.05557142857142857
Small,during,drama,1538,7000,0.21971428571428572
Small,during,family,219,7000,0.031285714285714285
Small,during,fantasy,156,7000,0.022285714285714287
Small,during,history,122,7000,0.01742857142857143
Small,during,horror,481,7000,0.06871428571428571
Small,during,music,65,7000,0.009285714285714286
Small,during,mystery,206,7000,0.02942857142857143
Small,during,romance,548,7000,0.07828571428571429
Small,during,science fiction,224,7000,0.032
Small,during,thriller,770,7000,0.11
Small,during,tv movie,99,7000,0.014142857142857143
Small,during,war,91,7000,0.013
Small,during,western,29,7000,0.004142857142857143
Small,post,action,449,5266,0.08526395746297
Small,post,adventure,215,5266,0.040827952905431064
Small,post,animation,104,5266,0.01974933535890619
Small,post,comedy,756,5266,0.14356247626281807
Small,post,crime,253,5266,0.04804405620964679
Small,post,drama,1210,5266,0.22977592100265856
Small,post,family,187,5266,0.03551082415495632
Small,post,fantasy,158,5266,0.030003797949107482
Small,post,history,122,5266,0.023167489555639954
Small,post,horror,335,5266,0.06361564755032283
Small,post,music,58,5266,0.011014052411697683
Small,post,mystery,155,5266,0.029434105582985187
Small,post,romance,303,5266,0.05753892897835169
Small,post,science fiction,174,5266,0.03304215723509305
Small,post,thriller,624,5266,0.11849601215343715
Small,post,tv movie,60,5266,0.01139384732244588
Small,post,war,79,5266,0.015001898974553741
Small,post,western,24,5266,0.004557538928978352
Big,pre,action,304,2884,0.10540915395284327
Big,pre,adventure,247,2884,0.08564493758668516
Big,pre,animation,39,2884,0.013522884882108182
Big,pre,comedy,432,2884,0.14979195561719832
Big,pre,crime,193,2884,0.06692094313453537
Big,pre,drama,455,2884,0.15776699029126215
Big,pre,family,129,2884,0.04472954230235784
Big,pre,fantasy,120,2884,0.04160887656033287
Big,pre,history,55,2884,0.019070735090152564
Big,pre,horror,81,2884,0.02808599167822469
