,dvd_era,region,genres,count,total,prop
0,pre,Eastern Asia,action,75,486,0.15432098765432098
1,pre,Eastern Asia,adventure,30,486,0.06172839506172839
2,pre,Eastern Asia,animation,19,486,0.03909465020576132
3,pre,Eastern Asia,comedy,33,486,0.06790123456790123
4,pre,Eastern Asia,crime,36,486,0.07407407407407407
5,pre,Eastern Asia,drama,103,486,0.21193415637860083
6,pre,Eastern Asia,family,16,486,0.03292181069958848
7,pre,Eastern Asia,fantasy,18,486,0.037037037037037035
8,pre,Eastern Asia,history,19,486,0.03909465020576132
9,pre,Eastern Asia,horror,26,486,0.053497942386831275
10,pre,Eastern Asia,music,2,486,0.00411522633744856
11,pre,Eastern Asia,mystery,6,486,0.012345679012345678
12,pre,Eastern Asia,romance,12,486,0.024691358024691357
13,pre,Eastern Asia,science fiction,35,486,0.0720164609053498
14,pre,Eastern Asia,thriller,27,486,0.05555555555555555
15,pre,Eastern Asia,tv movie,4,486,0.00823045267489712
16,pre,Eastern Asia,war,20,486,0.0411522633744856
17,pre,Eastern Asia,western,3,486,0.006172839506172839
18,pre,Europe,action,62,938,0.06609808102345416
19,pre,Europe,adventure,69,938,0.07356076759061833
20,pre,Europe,animation,9,938,0.009594882729211088
21,pre,Europe,comedy,108,938,0.11513859275053305
22,pre,Europe,crime,52,938,0.05543710021321962
23,pre,Europe,drama,234,938,0.24946695095948826
24,pre,Europe,family,29,938,0.03091684434968017
25,pre,Europe,fantasy,53,938,0.05650319829424307
26,pre,Europe,history,34,938,0.03624733475479744
27,pre,Europe,horror,57,938,0.060767590618336885
28,pre,Europe,music,18,938,0.019189765458422176
29,pre,Europe,mystery,24,938,0.0255863539445629
30,pre,Europe,romance,54,938,0.057569296375266525
31,pre,Europe,science fiction,35,938,0.03731343283582089
32,pre,Europe,thriller,63,938,0.06716417910447761
33,pre,Europe,tv movie,4,938,0.0042643923240938165
34,pre,Europe,war,23,938,0.024520255863539446
35,pre,Europe,western,3,938,0.0031982942430703624
36,pre,North America,action,553,5650,0.09787610619469027
37,pre,North America,adventure,349,5650,0.061769911504424777
38,pre,North America,animation,64,5650,0.011327433628318584
39,pre,North America,comedy,858,5650,0.151858407079646
40,pre,North America,crime,375,5650,0.06637168141592921
41,pre,North America,drama,880,5650,0.15575221238938053
42,pre,North America,family,204,5650,0.036106194690265485
43,pre,North America,fantasy,206,5650,0.03646017699115044
44,pre,North America,history,68,5650,0.012035398230088496
45,pre,North America,horror,483,5650,0.08548672566371682
46,pre,North America,music,82,5650,0.014513274336283187
47,pre,North America,mystery,137,5650,0.024247787610619468
48,pre,North America,romance,348,5650,0.061592920353982304
49,pre,North America,science fiction,344,5650,0.06088495575221239
50,pre,North America,thriller,554,5650,0.09805309734513275
51,pre,North America,tv movie,36,5650,0.006371681415929204
52,pre,North America,war,64,5650,0.011327433628318584
53,pre,North America,western,40,5650,0.007079646017699115
54,pre,Russia,action,1,48,0.020833333333333332
55,pre,Russia,adventure,3,48,0.0625
56,pre,Russia,animation,1,48,0.020833333333333332
57,pre,Russia,comedy,5,48,0.10416666666666667
58,pre,Russia,crime,2,48,0.041666666666666664
59,pre,Russia,drama,16,48,0.3333333333333333
60,pre,Russia,family,2,48,0.041666666666666664
61,pre,Russia,fantasy,3,48,0.0625
62,pre,Russia,history,2,48,0.041666666666666664
63,pre,Russia,horror,1,48,0.020833333333333332
64,pre,Russia,music,0,48,0.0
65,pre,Russia,mystery,4,48,0.08333333333333333
66,pre,Russia,romance,1,48,0.020833333333333332
67,pre,Russia,science fiction,2,48,0.041666666666666664
68,pre,Russia,thriller,1,48,0.020833333333333332
69,pre,Russia,tv movie,3,48,0.0625
70,pre,Russia,war,1,48,0.020833333333333332
71,pre,Russia,western,0,48,0.0
72,pre,South America,action,2,44,0.045454545454545456
73,pre,South America,adventure,3,44,0.06818181818181818
74,pre,South America,animation,2,44,0.045454545454545456
75,pre,South America,comedy,5,44,0.11363636363636363
76,pre,South America,crime,2,44,0.045454545454545456
77,pre,South America,drama,15,44,0.3409090909090909
78,pre,South America,family,2,44,0.045454545454545456
79,pre,South America,fantasy,1,44,0.022727272727272728
80,pre,South America,history,2,44,0.045454545454545456
81,pre,South America,horror,1,44,0.022727272727272728
82,pre,South America,music,0,44,0.0
83,pre,South America,mystery,1,44,0.022727272727272728
84,pre,South America,romance,2,44,0.045454545454545456
85,pre,South America,science fiction,4,44,0.09090909090909091
86,pre,South America,thriller,2,44,0.045454545454545456
87,pre,South America,tv movie,0,44,0.0
88,pre,South America,war,0,44,0.0
89,pre,South America,western,0,44,0.0
90,pre,Southern Asia,action,11,79,0.13924050632911392
91,pre,Southern Asia,adventure,2,79,0.02531645569620253
92,pre,Southern Asia,animation,1,79,0.012658227848101266
93,pre,Southern Asia,comedy,6,79,0.0759493670886076
94,pre,Southern Asia,crime,4,79,0.05063291139240506
95,pre,Southern Asia,drama,25,79,0.31645569620253167
96,pre,Southern Asia,family,4,79,0.05063291139240506
97,pre,Southern Asia,fantasy,2,79,0.02531645569620253
98,pre,Southern Asia,history,2,79,0.02531645569620253
99,pre,Southern Asia,horror,1,79,0.012658227848101266
100,pre,Southern Asia,music,1,79,0.012658227848101266
101,pre,Southern Asia,mystery,0,79,0.0
102,pre,Southern Asia,romance,16,79,0.20253164556962025
103,pre,Southern Asia,science fiction,1,79,0.012658227848101266
104,pre,Southern Asia,thriller,2,79,0.02531645569620253
105,pre,Southern Asia,tv movie,0,79,0.0
106,pre,Southern Asia,war,0,79,0.0
107,pre,Southern Asia,western,0,79,0.0
108,pre,UK,action,59,727,0.0811554332874828
109,pre,UK,adventure,63,727,0.08665749656121045
110,pre,UK,animation,14,727,0.01925722145804677
111,pre,UK,comedy,65,727,0.08940852819807428
112,pre,UK,crime,33,727,0.0453920220082531
113,pre,UK,drama,145,727,0.19944979367262725
114,pre,UK,family,27,727,0.037138927097661624
115,pre,UK,fantasy,36,727,0.04951856946354883
116,pre,UK,history,28,727,0.03851444291609354
117,pre,UK,horror,41,727,0.05639614855570839
118,pre,UK,music,19,727,0.026134800550206328
119,pre,UK,mystery,21,727,0.02888583218707015
120,pre,UK,romance,39,727,0.05364511691884457
121,pre,UK,science fiction,45,727,0.061898211829436035
122,pre,UK,thriller,60,727,0.08253094910591471
123,pre,UK,tv movie,6,727,0.008253094910591471
124,pre,UK,war,25,727,0.0343878954607978
125,pre,UK,western,1,727,0.001375515818431912
126,during,Eastern Asia,action,269,1579,0.17036098796706775
127,during,Eastern Asia,adventure,115,1579,0.07283090563647879
128,during,Eastern Asia,animation,52,1579,0.032932235592146926
129,during,Eastern Asia,comedy,89,1579,0.05636478784040532
130,during,Eastern Asia,crime,71,1579,0.04496516782773907
131,during,Eastern Asia,drama,319,1579,0.20202659911336288
132,during,Eastern Asia,family,40,1579,0.0253324889170361
133,during,Eastern Asia,fantasy,66,1579,0.04179860671310956
134,during,Eastern Asia,history,66,1579,0.04179860671310956
135,during,Eastern Asia,horror,90,1579,0.056998100063331225
136,during,Eastern Asia,music,5,1579,0.0031665611146295125
137,during,Eastern Asia,mystery,50,1579,0.031665611146295125
138,during,Eastern Asia,romance,76,1579,0.048131728942368585
139,during,Eastern Asia,science fiction,68,1579,0.04306523115896137
140,during,Eastern Asia,thriller,149,1579,0.09436352121595946
141,during,Eastern Asia,tv movie,1,1579,0.0006333122229259025
142,during,Eastern Asia,war,39,1579,0.024699176694110196
143,during,Eastern Asia,western,6,1579,0.0037998733375554147
144,during,Europe,action,490,6249,0.07841254600736118
145,during,Europe,adventure,343,6249,0.05488878220515282
146,during,Europe,animation,97,6249,0.01552248359737558
147,during,Europe,comedy,731,6249,0.11697871659465514
148,during,Europe,crime,362,6249,0.057929268682989275
149,during,Europe,drama,1530,6249,0.24483917426788285
150,during,Europe,family,176,6249,0.028164506321011362
151,during,Europe,fantasy,213,6249,0.03408545367258761
152,during,Europe,history,206,6249,0.03296527444391103
153,during,Europe,horror,340,6249,0.054408705392862855
154,during,Europe,music,59,6249,0.009441510641702672
155,during,Europe,mystery,234,6249,0.03744599135861738
156,during,Europe,romance,403,6249,0.06449031845095216
157,during,Europe,science fiction,160,6249,0.025604096655464873
158,during,Europe,thriller,664,6249,0.10625700112017923
159,during,Europe,tv movie,21,6249,0.003360537686029765
160,during,Europe,war,170,6249,0.027204352696431428
161,during,Europe,western,14,6249,0.0022403584573531766
162,during,North America,action,1278,13645,0.09366068156834005
163,during,North America,adventure,714,13645,0.052326859655551484
164,during,North America,animation,225,13645,0.016489556614144377
165,during,North America,comedy,1912,13645,0.14012458776108463
