prod_type,genre,word,era,factor
Independent,drama,friends,during,0.026205994452087232
Independent,drama,youth,during,0.015313141336460612
Independent,drama,family,during,0.031099884982296294
Independent,drama,party,during,0.0167113957736632
Independent,drama,home,during,0.020703186666967365
Independent,drama,positive_emotion,during,0.018808777429467086
Independent,drama,crime,during,0.013554047044496064
Independent,drama,death,during,0.024627320087503665
Independent,drama,negative_emotion,during,0.01765860039241334
Independent,drama,children,during,0.03637716785818994
Independent,drama,wedding,during,0.019733429557294603
Independent,drama,friends,post,0.024330818476635357
Independent,drama,youth,post,0.015979701913867557
Independent,drama,family,post,0.02940534000974577
Independent,drama,party,post,0.016685430074101455
Independent,drama,home,post,0.019575554920773612
Independent,drama,positive_emotion,post,0.01764320400584746
Independent,drama,crime,post,0.011258044460874094
Independent,drama,death,post,0.0236418933678356
Independent,drama,negative_emotion,post,0.015173155445028817
Independent,drama,children,post,0.0358577117604557
Independent,drama,wedding,post,0.018567371834725187
Independent,drama,friends,pre,0.022222222222222223
Independent,drama,youth,pre,0.020309050772626933
Independent,drama,family,pre,0.03664459161147903
Independent,drama,party,pre,0.015158204562178073
Independent,drama,home,pre,0.02207505518763797
Independent,drama,positive_emotion,pre,0.017512877115526123
Independent,drama,crime,pre,0.01545253863134658
Independent,drama,death,pre,0.023693892568064753
Independent,drama,negative_emotion,pre,0.012509197939661517
Independent,drama,children,pre,0.042531272994849156
Independent,drama,wedding,pre,0.022516556291390728
Small,drama,friends,during,0.024129886655512876
Small,drama,youth,during,0.017791078539953344
Small,drama,family,during,0.033037208096708064
Small,drama,party,during,0.015081179159695549
Small,drama,home,during,0.020076819756344698
Small,drama,positive_emotion,during,0.017696821170205244
Small,drama,leader,during,0.011664349506327026
Small,drama,business,during,0.012135636355067512
Small,drama,crime,during,0.01552890166599901
Small,drama,death,during,0.024153450997949903
Small,drama,negative_emotion,during,0.015010486132384477
Small,drama,children,during,0.03977661003369701
Small,drama,wedding,during,0.01875721657987134
Small,drama,friends,post,0.02128202673813854
Small,drama,youth,post,0.01659168501324144
Small,drama,family,post,0.03477872435467917
Small,drama,party,post,0.016336428320730033
Small,drama,home,post,0.021377747997830317
Small,drama,positive_emotion,post,0.021154398391882837
Small,drama,leader,post,0.012060878721163971
Small,drama,business,post,0.011646086595832935
